country_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Iceland,89.07,88.9,93.34,85.97,83.67,86.06,86.61,86.24,86.06,86.2,86.53,86.27,87.43,90.24,90.49,91.62,90.5,90.81,90.57,91.42,
India,11.79,,12.26,,24.92,23.0,,,13.52,26.34,10.27,,11.84,22.75,,,,19.8,,,
Indonesia,,36.4,27.1,11.42,,,9.9,9.2,8.7,9.8,,,7.0,,6.28,,17.88,14.37,14.32,12.99,
Ireland,35.93,35.6,35.44,35.21,34.24,33.17,31.78,30.46,30.89,31.94,31.8,31.7,29.99,28.36,26.05,25.2,23.29,24.15,24.03,24.85,25.4
Israel,45.65,,,40.0,39.0,36.0,31.73,32.88,31.75,,,,25.11,,,,,25.09,,,
Italy,35.0,34.43,33.82,33.56,33.87,33.75,33.58,34.04,33.93,34.7,35.32,35.14,35.46,35.71,35.39,34.22,33.57,33.23,32.64,32.5,
Japan,21.54,20.88,20.26,19.74,19.25,18.8,18.35,18.25,18.22,18.46,18.4,18.99,17.97,17.78,17.6,17.52,17.35,17.15,16.96,16.8,
Kazakhstan,,,,,,,,,,37.58,39.75,39.2,49.2,,,,,46.92,,,
Kenya,,,,,,,,,,,,,,,,,9.33,,,9.7,
"Korea, Republic of",11.43,11.49,11.31,11.39,12.41,11.75,11.28,12.08,12.76,12.19,11.44,10.95,11.57,12.47,12.53,12.43,12.02,12.44,12.48,12.37,12.37
Lao People's Democratic Republic,,,,,,,,,,,15.5,,,,,,,,,,
Latvia,,,,20.93,,,17.87,16.59,15.09,14.58,14.49,13.0,12.69,12.46,12.54,12.46,11.46,11.5,11.04,10.65,
Lesotho,,,,,,,,,,8.26,9.72,,,,,,,,,4.75,
Liberia,,,,,,,,,,,20.08,,,,,,,,,,
Lithuania,,18.52,,12.23,,,9.75,9.3,8.86,9.95,10.13,9.72,9.02,8.36,8.12,7.86,7.67,7.73,7.13,7.36,
